City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Muisne,EC,82.51,broken clouds,0.6,-80.0333,Quinta Samay
472,Russell,US,81.68,clear sky,32.3502,-85.1999,Macs
475,Camocim,BR,79.25,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
476,Batticaloa,LK,79.81,broken clouds,7.7102,81.6924,Grand Star Guest House
480,Manggar,ID,79.41,broken clouds,-2.8833,108.2667,Guest Hotel
483,Miranda,CO,77.13,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
487,Urucara,BR,76.15,overcast clouds,-2.5364,-57.76,Hotel japa
493,Bonthe,SL,81.79,clear sky,7.5264,-12.505,Bonthe Holiday Village
494,Trairi,BR,79.56,scattered clouds,-3.2778,-39.2689,janelas do mar
495,Contamana,PE,86.92,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
497,Lenoir,US,87.93,broken clouds,35.2335,-77.6497,"Holiday Inn Express & Suites Kinston, an IHG Hotel"
498,Ugoofaaru,MV,83.26,broken clouds,5.6667,73.0,Ungoofaaru Inn
500,Eirunepe,BR,79.61,overcast clouds,-6.6603,-69.8736,Atrás de você
501,Trat,TH,80.78,overcast clouds,12.5,102.5,สวนหนิง-อัศ
503,Mazagao,BR,84.25,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
505,Santa Ines,BR,78.49,scattered clouds,-3.6667,-45.38,HOTEL TOP
512,Key West,US,84.2,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
520,Suzhou,CN,75.88,overcast clouds,31.3114,120.6181,Holiday Inn Jasmine Suzhou
521,Lazaro Cardenas,MX,87.21,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
525,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
526,Longhua,CN,78.85,overcast clouds,23.6137,114.1919,Huadu Hotel
530,Les Cayes,HT,82.36,clear sky,18.2,-73.75,Villa Orphee
533,Nisia Floresta,BR,79.61,clear sky,-6.0911,-35.2086,Rancho Crepusculo
537,Horqueta,PY,79.43,overcast clouds,-23.3428,-57.0597,Hospedaje Heina
540,Sibolga,ID,76.32,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
544,Canutama,BR,81.64,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
552,Baghdad,IQ,82.31,clear sky,33.3406,44.4009,Baghdad Hotel
556,Malindi,KE,76.84,broken clouds,-3.2175,40.1191,African House Resort
559,Toccoa,US,79.29,clear sky,34.5773,-83.3324,Quality Inn
560,Buritis,BR,75.56,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
565,Dalbandin,PK,85.06,clear sky,28.8947,64.4101,Sanjrani House
566,Ikom,NG,77.18,broken clouds,5.9667,8.7063,Reho Farm & Resort
567,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
572,Aswan,EG,89.73,overcast clouds,24.0934,32.907,Nuba Nile
573,Kloulklubed,PW,81.1,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
579,Gauripur,IN,79.47,broken clouds,26.0835,89.9616,P B College Boys Hostel
580,Gimli,CA,75.43,scattered clouds,50.6336,-96.9907,Lakeview Gimli Resort
582,Lloret De Mar,ES,75.06,light rain,41.6999,2.8457,Apartaments Guitart
587,Carrollton,US,86.05,broken clouds,32.9537,-96.8903,Days Inn by Wyndham North Dallas/Farmers Branch
594,Kirakira,SB,77.13,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
599,Biak,ID,75.83,broken clouds,-0.9131,122.8766,Penginapan Kim
605,Pirapemas,BR,80.06,overcast clouds,-3.7267,-44.2233,HOTEL DA LOURA
606,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
607,Laibin,CN,76.8,light rain,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
620,Mayumba,GA,76.82,broken clouds,-3.432,10.6554,LIKWALE LODGE
621,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
624,Porbandar,IN,83.12,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
625,Trincomalee,LK,80.91,overcast clouds,8.5711,81.2335,Welcombe Hotel
627,Dawei,MM,77.81,overcast clouds,14.0833,98.2,Hotel Dawei
630,Hun,LY,86.38,broken clouds,29.1268,15.9477,Alrwasi Hotel
631,Kamalasai,TH,83.23,overcast clouds,16.3384,103.5756,กาฬสินธุ์ โฮมสเตย์
633,Kutum,SD,81.43,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
636,Punta Cardon,VE,81.23,overcast clouds,11.6581,-70.215,Bambuda hotel
637,Lorengau,PG,81.79,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
641,Manavalakurichi,IN,80.69,broken clouds,8.1333,77.3,Udaya Boys Hostel
650,Vanimo,PG,79.2,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
654,Taganak,PH,77.14,broken clouds,6.0833,118.3,Taganak
655,Tahta,EG,88.12,scattered clouds,26.7693,31.5021,El Salam Hotel
656,Planeta Rica,CO,81.64,overcast clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
659,Damaturu,NG,83.21,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
661,Puerto Ayacucho,VE,81.36,heavy intensity rain,5.6639,-67.6236,Posada Turistica Manapiare
663,Alugan,PH,79.21,overcast clouds,12.2188,125.4808,JM Lodge
678,Mahibadhoo,MV,83.7,overcast clouds,3.7833,72.9667,Omadhoo Inn
684,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
686,Kashi,CN,76.21,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
691,Prainha,BR,79.18,broken clouds,-1.8,-53.48,Casa Rocha
702,Santa Cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
