,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Labuan,MY,5.2767,115.2417,80.76,94,20,0.0,light rain
318,Lisakovsk,KZ,52.5369,62.4936,79.88,24,88,9.48,overcast clouds
319,Kindersley,CA,51.4668,-109.1682,48.22,76,75,18.41,broken clouds
320,Calbuco,CL,-41.768,-73.1273,42.01,82,100,9.33,light rain
321,Waddan,LY,29.1614,16.139,109.26,7,1,16.78,clear sky
322,Ambon,ID,-3.6954,128.1814,80.69,80,100,8.72,overcast clouds
323,Burns Lake,CA,54.2331,-125.7533,31.42,82,100,2.66,overcast clouds
324,Teya,RU,60.3778,92.6267,36.05,91,100,7.9,overcast clouds
325,Acapulco,MX,16.8634,-99.8901,80.42,83,40,0.29,scattered clouds
326,Vaitape,PF,-16.5167,-151.75,78.94,71,38,3.4,scattered clouds
327,Port Stanley,FK,-51.7,-57.85,30.49,93,75,25.32,snow
328,Lloydminster,CA,53.2835,-110.0016,47.88,87,20,17.27,few clouds
329,Rio Rancho,US,35.2334,-106.6645,68.67,46,1,5.01,clear sky
330,Antsohihy,MG,-14.8796,47.9875,82.89,56,3,4.9,clear sky
331,Ostrovnoy,RU,68.0531,39.5131,36.34,74,92,22.44,overcast clouds
332,The Valley,AI,18.217,-63.0578,84.34,70,40,13.8,scattered clouds
333,Ust-Ilimsk,RU,58.0006,102.6619,36.59,71,95,4.81,overcast clouds
334,Santa Lucia,ES,27.9117,-15.5407,68.76,56,20,10.85,few clouds
335,Aliwal North,ZA,-30.6937,26.7114,60.51,24,52,16.51,broken clouds
336,Tall Kayf,TR,37.0833,41.0667,91.74,15,94,15.01,overcast clouds
337,Pativilca,PE,-10.7,-77.7833,64.71,86,97,5.55,overcast clouds
338,Taldan,RU,53.6667,124.8,43.3,85,65,3.44,broken clouds
339,Atambua,ID,-9.1061,124.8925,71.92,84,71,4.97,broken clouds
340,Yining,CN,29.0361,114.5636,68.58,93,100,2.73,light rain
341,Preobrazheniye,RU,42.9019,133.9064,47.86,97,100,4.05,overcast clouds
342,Havoysund,NO,70.9963,24.6622,41.88,80,99,18.59,overcast clouds
343,Agadir,MA,30.4202,-9.5982,73.85,56,100,4.56,overcast clouds
344,Nhulunbuy,AU,-12.2333,136.7667,77.61,69,40,10.36,scattered clouds
345,Solnechnyy,RU,50.7214,136.6319,49.01,90,100,2.08,overcast clouds
